	128512	1F600	GRINNING FACE
📢	128226	1F4E2	Loudspeaker
📣	128227	1F4E3	Megaphone
📤	128228	1F4E4	Outbox
📥	128229	1F4E5	Inbox
📰	128240	1F4F0	Newspaper
🔋	128267	1F50B	Battery
🔌	128268	1F50C	Power Plug
🖇	128391	1F587	Paperclips
🖈	128392	1F588	Black pushpin
🖉	128393	1F589	Lower pencil
🖊	128394	1F58A	Black ballpoint pen
🖋	128395	1F58B	Lower fountain pen
🖌	128396	1F58C	Lower paintbrush
🖍	128397	1F58D	Lower Crayon
Phone Symbols
Char	Dec	Hex	Name
📱	128241	1F4F1	Mobile phone
📲	128242	1F4F2	Mobile phone with arrow
📳	128243	1F4F3	Mobile phone vibrating
📴	128244	1F4F4	Mobile phone off
📵	128245	1F4F5	No mobile phones
📶	128246	1F4F6	Antenna bars
🕻	128379	1F57B	Left telephone receiver
🕼	128380	1F57C	Telephone receiver page
🕽	128381	1F57D	Right telephone receiver
🕾	128382	1F57E	White touch telephone
🕿	128383	1F57F	Black touch telephone
🖀	128384	1F580	Telephone on modem
🖁	128385	1F581	Clamshell mobile phone
Post Symbols
Char	Dec	Hex	Name
📤	128228	1F4E4	Outbox
📥	128229	1F4E5	Inbox
📦	128230	1F4E6	Package
📧	128231	1F4E7	E-mail
📨	128232	1F4E8	Envelope incoming
📩	128233	1F4E9	Envelope with down arrow
📪	128234	1F4EA	Closed mailbox low flag
📫	128235	1F4EB	Closed mailbox raised flag
📬	128236	1F4EC	Open mailbox low flag
📭	128237	1F4ED	Open mailbox raised flag
📮	128238	1F4EE	Posbox
📯	128239	1F4EF	Postal horn
📰	128240	1F4F0	Newspaper
🖂	128386	1F582	Envelope
🖃	128387	1F583	Stamped envelope
🖄	128388	1F584	Envelope with lightning
🖅	128389	1F585	Flying envelope
🖆	128390	1F586	Pen over envelope
Clock Faces
Char	Dec	Hex	Name
🕐	128336	1F550	
🕑	128337	1F551	
🕒	128338	1F552	
🕓	128339	1F553	
🕔	128340	1F554	
🕕	128341	1F555	
🕖	128342	1F556	
🕗	128343	1F557	
🕘	128344	1F558	
🕙	128345	1F559	
🕚	128346	1F55A	
🕛	128347	1F55B	
🕜	128348	1F55C	
🕝	128349	1F55D	
🕞	128350	1F55E	
🕟	128351	1F55F	
🕠	128352	1F560	
🕡	128353	1F561	
🕢	128354	1F562	
🕣	128355	1F563	
🕤	128356	1F564	
🕥	128357	1F565	
🕦	128358	1F566	
🕧	128359	1F567
